Name,Ticker,CIK
Baco Santandar,SAN,891478,Out
Bank of Montreal,BMO,927971,Out
Royal Bank of Canada,RY,1000275,Out
HSBC Holdings PLC,HSBC,1089113,Out
Toronto-Dominion Bank,TD,947263,Out
City National Bank,CYN,275216,Out
